order_id,product_id,quantity,unit_price,line_total
1341,7,4,6.31,25.24
1341,8,2,9.18,18.36
1341,17,2,5.18,10.36
2235,13,3,9.74,29.22
20793,11,3,7.33,21.99
20793,25,5,1.9,9.5
33473,9,5,1.69,8.45
33473,10,4,0.79,3.16
33473,12,3,6.1,18.3
33473,13,5,9.74,48.7
53494,3,3,3.2,9.6
57151,24,2,9.87,19.74
87191,2,5,9.68,48.4
110443,7,5,6.31,31.55
110443,11,2,7.33,14.66
112213,25,5,1.9,9.5
137621,24,2,9.87,19.74
146305,13,1,9.74,9.74
146305,27,5,1.93,9.65
146305,29,2,1.87,3.74
151809,6,1,3.99,3.99
151809,11,4,7.33,29.32
151809,18,5,4.75,23.75
151809,19,4,3.22,12.88
151809,20,2,1.16,2.32
174312,2,1,9.68,9.68
174312,5,5,4.8,24.0
174312,16,5,1.37,6.85
174312,18,5,4.75,23.75
174312,30,4,3.91,15.64
196549,9,4,1.69,6.76
196549,20,5,1.16,5.8
196549,22,3,6.82,20.46
207832,8,3,9.18,27.54
210220,17,4,5.18,20.72
214644,23,2,3.65,7.3
216585,3,4,3.2,12.8
216585,11,4,7.33,29.32
223323,8,2,9.18,18.36
223323,9,3,1.69,5.07
223926,21,4,1.02,4.08
227572,8,3,9.18,27.54
227572,9,5,1.69,8.45
227572,16,2,1.37,2.74
227572,25,3,1.9,5.7
227572,27,1,1.93,1.93
230768,5,5,4.8,24.0
230768,23,4,3.65,14.6
237818,3,5,3.2,16.0
240218,25,2,1.9,3.8
240218,29,5,1.87,9.35
252734,21,4,1.02,4.08
252734,25,3,1.9,5.7
260994,17,4,5.18,20.72
271856,11,1,7.33,7.33
271856,27,2,1.93,3.86
292553,8,4,9.18,36.72
292553,9,3,1.69,5.07
298604,4,2,5.15,10.3
298604,15,3,6.29,18.87
298604,24,1,9.87,9.87
298604,27,5,1.93,9.65
308107,8,1,9.18,9.18
308107,24,1,9.87,9.87
308335,4,5,5.15,25.75
308335,9,4,1.69,6.76
308335,11,3,7.33,21.99
308335,12,4,6.1,24.4
308335,17,1,5.18,5.18
314305,16,4,1.37,5.48
320476,10,3,0.79,2.37
320476,16,3,1.37,4.11
320476,21,4,1.02,4.08
322447,6,4,3.99,15.96
322447,16,2,1.37,2.74
322447,21,1,1.02,1.02
323103,1,5,9.46,47.3
323103,9,2,1.69,3.38
323103,24,1,9.87,9.87
337647,10,2,0.79,1.58
337647,12,3,6.1,18.3
337647,13,5,9.74,48.7
337647,18,4,4.75,19.0
337647,25,2,1.9,3.8
338119,2,5,9.68,48.4
338119,14,2,3.21,6.42
339117,4,5,5.15,25.75
339117,6,2,3.99,7.98
339117,8,1,9.18,9.18
339117,19,4,3.22,12.88
339117,26,1,8.45,8.45
377378,11,4,7.33,29.32
377378,16,4,1.37,5.48
