order_id,order_datetime,customer_id,total_amount,num_items
1341,2024-02-07T14:39:46.765043,29,53.96,3
2235,2024-02-10T00:14:33.369400,30,29.22,1
20793,2024-02-06T20:52:04.847203,6,31.49,2
33473,2024-02-06T15:10:17.869243,12,78.61,4
53494,2024-02-01T15:58:12.376271,22,9.6,1
57151,2024-02-03T10:39:27.226101,11,19.74,1
87191,2024-02-10T06:47:55.999009,23,48.4,1
110443,2024-02-09T05:51:56.163109,5,46.21,2
112213,2024-02-01T10:57:28.896039,30,9.5,1
137621,2024-02-06T20:47:26.286459,28,19.74,1
146305,2024-02-07T03:20:05.503867,26,23.13,3
151809,2024-02-02T04:42:22.418122,28,72.26,5
174312,2024-02-08T04:42:03.393033,16,79.92,5
196549,2024-02-08T11:20:07.292032,29,33.02,3
207832,2024-02-01T04:45:03.127311,3,27.54,1
210220,2024-02-02T08:15:02.430072,12,20.72,1
214644,2024-02-04T01:25:21.545009,30,7.3,1
216585,2024-02-05T04:11:28.204571,18,42.12,2
223323,2024-02-07T16:26:33.488370,23,23.43,2
223926,2024-02-06T00:53:04.108898,24,4.08,1
227572,2024-02-02T00:47:08.899955,16,46.36,5
230768,2024-02-04T15:54:44.748394,11,38.6,2
237818,2024-02-04T16:24:19.731441,3,16.0,1
240218,2024-02-02T22:56:15.799900,24,13.15,2
252734,2024-02-10T20:57:50.024721,16,9.78,2
260994,2024-02-02T20:20:01.757398,8,20.72,1
271856,2024-02-10T20:03:37.176174,4,11.19,2
292553,2024-02-10T17:29:16.464708,9,41.79,2
298604,2024-02-06T06:44:22.508669,3,48.69,4
308107,2024-02-02T10:52:51.201810,8,19.05,2
308335,2024-02-07T00:33:55.471025,20,84.08,5
314305,2024-02-06T21:15:48.038312,14,5.48,1
320476,2024-02-08T19:19:42.814742,27,10.56,3
322447,2024-02-06T10:10:14.465969,6,19.72,3
323103,2024-02-03T23:00:27.656454,7,60.55,3
337647,2024-02-03T07:51:26.233069,21,91.38,5
338119,2024-02-04T10:03:36.697711,28,54.82,2
339117,2024-02-02T02:46:59.593406,13,64.24,5
377378,2024-02-05T10:54:41.129400,8,45.16,3
